Date,Open,High,Low,Close,Volume
7-Mar-17,137.03,138.37,136.99,137.30,13527132
8-Mar-17,137.15,137.99,137.05,137.72,10184514
9-Mar-17,137.72,138.57,137.40,138.24,15535259
10-Mar-17,138.91,139.49,138.22,138.79,16314113
13-Mar-17,138.71,139.68,138.67,139.60,10955450
14-Mar-17,139.46,139.46,138.52,139.32,12944018
15-Mar-17,139.29,140.10,138.49,139.72,19344826
16-Mar-17,140.20,140.25,139.73,139.99,13612942
17-Mar-17,140.34,140.34,139.70,139.84,20592818
20-Mar-17,139.71,140.19,139.25,139.94,12099471
21-Mar-17,141.15,142.31,138.40,138.51,29894784
22-Mar-17,137.93,139.79,137.60,139.59,17055449
23-Mar-17,139.48,140.39,139.09,139.53,13022801
24-Mar-17,140.08,141.02,139.76,140.34,16664683
27-Mar-17,139.05,140.65,138.77,140.32,12800544
28-Mar-17,140.36,141.95,140.01,141.76,14679436
29-Mar-17,141.99,142.86,141.43,142.65,16527574
30-Mar-17,142.40,142.95,141.85,142.41,12403997
31-Mar-17,142.31,142.63,141.89,142.05,11478265
3-Apr-17,141.93,142.47,140.82,142.28,13563960
4-Apr-17,141.86,142.09,141.27,141.73,12948599
5-Apr-17,142.26,143.44,141.29,141.85,17158059
6-Apr-17,142.11,142.22,140.91,141.17,15103426
7-Apr-17,141.20,141.55,140.24,140.78,11818341
10-Apr-17,141.00,141.43,140.63,141.04,9039366
11-Apr-17,140.80,141.03,138.81,139.92,16638087
12-Apr-17,139.72,140.40,139.44,139.58,11612456
13-Apr-17,139.62,140.58,139.33,139.39,10965614
17-Apr-17,139.76,141.55,139.75,141.42,11519663
18-Apr-17,141.27,141.90,140.61,140.96,14807472
19-Apr-17,141.35,143.04,141.27,142.27,15563945
20-Apr-17,142.95,144.25,142.69,143.80,15968164
21-Apr-17,143.90,144.17,142.27,143.68,12382002
24-Apr-17,144.96,145.67,144.34,145.47,14407175
25-Apr-17,145.79,147.15,145.79,146.49,17767523
26-Apr-17,147.09,147.59,146.09,146.56,12394959
27-Apr-17,146.67,147.75,146.14,147.70,11275112
28-Apr-17,149.50,151.53,149.07,150.25,30652248
1-May-17,151.74,152.57,151.42,152.46,25218300
2-May-17,153.34,153.44,151.66,152.78,21870380
3-May-17,153.60,153.60,151.34,151.80,29782492
4-May-17,150.17,151.52,148.72,150.85,36225452
5-May-17,151.45,151.63,149.79,150.24,17148543
8-May-17,150.71,151.08,149.74,151.06,15827488
9-May-17,151.49,152.59,150.21,150.48,17453859
10-May-17,150.23,150.52,148.86,150.29,12080650
11-May-17,150.31,150.65,149.41,150.04,11841864
12-May-17,150.40,150.46,149.63,150.33,9598229
15-May-17,150.17,151.48,149.77,150.19,15064664
16-May-17,150.11,150.21,149.03,149.78,14550830
17-May-17,148.00,148.67,144.42,144.85,28300050
18-May-17,144.72,148.15,144.51,147.66,23031566
19-May-17,148.44,149.39,147.96,148.06,16187892
22-May-17,148.08,148.59,147.69,148.24,12586712
23-May-17,148.52,148.81,147.25,148.07,12817837
24-May-17,148.51,150.23,148.42,150.04,17940668
25-May-17,150.30,152.59,149.95,151.96,19891352
26-May-17,152.23,152.25,151.15,152.13,14996185
30-May-17,151.97,152.90,151.64,152.38,13226007
31-May-17,152.70,153.35,151.09,151.46,18023917
1-Jun-17,151.75,152.29,150.30,151.53,14530600
2-Jun-17,151.85,153.63,151.30,153.61,16854365
5-Jun-17,153.64,154.71,153.41,153.63,12520387
6-Jun-17,153.41,154.52,152.48,152.81,13457119
7-Jun-17,153.27,153.75,152.34,153.12,12066657
8-Jun-17,154.08,154.73,153.10,154.71,17799449
9-Jun-17,154.77,155.59,146.61,149.60,35577676
12-Jun-17,148.17,149.20,144.56,148.44,33170180
13-Jun-17,150.15,151.18,148.90,150.68,20483350
14-Jun-17,151.26,152.40,149.05,150.25,20808759
15-Jun-17,147.67,150.04,146.37,149.80,18994152
16-Jun-17,149.59,150.83,148.60,150.64,22882417
19-Jun-17,151.71,153.57,151.71,152.87,19026462
20-Jun-17,152.88,153.84,152.21,152.25,14743853
21-Jun-17,152.36,154.08,151.88,153.91,15039834
